id_transaccion,id_cliente_origen,id_cliente_destino,tipo_transaccion,monto,fecha_hora,etiqueta_lavado,nombre_cliente,ocupacion,cluster_comportamiento,sospechoso_ml
TX-0029796,CLI-04590,SISTEMA,DEPOSITO_EFECTIVO,17543.53,2026-05-13 14:01:22,0,Citlali Rosalia Ojeda Romo,Empresario / Comerciante,4,1
TX-0029851,CLI-04599,SISTEMA,DEPOSITO_EFECTIVO,30222.93,2026-05-13 17:56:22,0,Srita. Arcelia Barrientos,Empresario / Comerciante,4,1
TX-0012827,CLI-01982,SISTEMA,DEPOSITO_EFECTIVO,31475.54,2026-05-13 19:02:22,0,Guadalupe Bravo Barrera,Empresario / Comerciante,4,1
TX-0026492,CLI-04078,SISTEMA,DEPOSITO_EFECTIVO,20330.96,2026-05-13 20:05:22,0,Abel Villarreal Zarate,Empresario / Comerciante,4,1
TX-0001068,CLI-00162,SISTEMA,DEPOSITO_EFECTIVO,15885.34,2026-05-13 20:32:22,0,Jerónimo Ramón Chavarría Rentería,Profesionista Independiente,4,1
TX-0015800,CLI-02444,SISTEMA,DEPOSITO_EFECTIVO,35809.69,2026-05-13 20:49:22,0,Ing. Socorro Ordóñez,Empresario / Comerciante,4,1
TX-0015351,CLI-02380,SISTEMA,DEPOSITO_EFECTIVO,11255.15,2026-05-13 21:14:22,0,Luis Malave,Empresario / Comerciante,4,1
TX-0030855,CLI-04749,SISTEMA,DEPOSITO_EFECTIVO,20045.58,2026-05-13 21:18:22,0,Margarita Peña,Empresario / Comerciante,4,1
TX-0014852,CLI-02305,SISTEMA,DEPOSITO_EFECTIVO,5796.72,2026-05-13 21:22:22,0,Darío Lozada,Empresario / Comerciante,4,1
TX-0008843,CLI-01358,SISTEMA,DEPOSITO_EFECTIVO,15699.31,2026-05-13 22:01:22,0,Srita. Elena Parra,Empresario / Comerciante,4,1
TX-0005488,CLI-00842,SISTEMA,DEPOSITO_EFECTIVO,42412.1,2026-05-13 23:43:22,0,Héctor Leonardo Cepeda,Empresario / Comerciante,4,1
TX-0030684,CLI-04723,SISTEMA,DEPOSITO_EFECTIVO,6404.33,2026-05-14 00:27:22,0,Sr. Isaac Manzanares,Empresario / Comerciante,4,1
TX-0025285,CLI-03902,SISTEMA,DEPOSITO_EFECTIVO,24367.08,2026-05-14 01:43:22,0,Antonia Débora Zayas Ríos,Empresario / Comerciante,4,1
TX-0016394,CLI-02540,SISTEMA,DEPOSITO_EFECTIVO,29143.92,2026-05-14 02:50:22,0,Eloy Ángel Garrido,Empresario / Comerciante,4,1
TX-0020684,CLI-03203,SISTEMA,DEPOSITO_EFECTIVO,3372.73,2026-05-14 04:05:22,0,Pascual Quintana Noriega,Empresario / Comerciante,4,1
TX-0011765,CLI-01815,SISTEMA,DEPOSITO_EFECTIVO,9325.18,2026-05-14 05:22:22,0,Hermelinda Zamudio,Empresario / Comerciante,4,1
TX-0000202,CLI-00030,SISTEMA,DEPOSITO_EFECTIVO,5101.33,2026-05-14 05:47:22,0,Fabiola Graciela Ramón Mares,Empresario / Comerciante,4,1
TX-0030824,CLI-04743,SISTEMA,DEPOSITO_EFECTIVO,22775.43,2026-05-14 06:18:22,0,José María Maya Melgar,Empresario / Comerciante,4,1
TX-0024489,CLI-03780,SISTEMA,DEPOSITO_EFECTIVO,14643.23,2026-05-14 07:52:22,0,Lic. Timoteo Benítez,Empresario / Comerciante,4,1
TX-0006822,CLI-01052,SISTEMA,DEPOSITO_EFECTIVO,25670.81,2026-05-14 07:53:22,0,Ruby Alba,Empresario / Comerciante,4,1
TX-0007247,CLI-01120,SISTEMA,DEPOSITO_EFECTIVO,7146.26,2026-05-14 08:21:22,0,Ignacio Rivero,Empresario / Comerciante,4,1
TX-0023140,CLI-03576,SISTEMA,DEPOSITO_EFECTIVO,16800.87,2026-05-14 10:42:22,0,Rebeca Guzmán Tamayo,Empresario / Comerciante,4,1
TX-0015354,CLI-02380,SISTEMA,DEPOSITO_EFECTIVO,1194.33,2026-05-14 11:14:22,0,Luis Malave,Empresario / Comerciante,4,1
TX-0023206,CLI-03585,SISTEMA,DEPOSITO_EFECTIVO,7829.93,2026-05-14 13:13:22,0,Victoria Nelly Sevilla,Empresario / Comerciante,4,1
TX-0021913,CLI-03386,SISTEMA,DEPOSITO_EFECTIVO,17355.47,2026-05-14 13:14:22,0,Amelia Yolanda Paredes Tapia,Empresario / Comerciante,4,1
TX-0011196,CLI-01724,SISTEMA,DEPOSITO_EFECTIVO,13945.35,2026-05-14 14:16:22,0,Timoteo Lucas Hernández Aragón,Empresario / Comerciante,4,1
TX-0013030,CLI-02016,SISTEMA,DEPOSITO_EFECTIVO,21953.74,2026-05-14 16:54:22,0,Lic. Germán Herrera,Empresario / Comerciante,4,1
TX-0022169,CLI-03428,SISTEMA,DEPOSITO_EFECTIVO,28873.1,2026-05-14 20:47:22,0,Adela Terrazas,Empresario / Comerciante,4,1
TX-0018998,CLI-02938,SISTEMA,DEPOSITO_EFECTIVO,18797.34,2026-05-15 01:31:22,0,Cynthia Micaela Márquez Ruelas,Empresario / Comerciante,4,1
TX-0019891,CLI-03083,SISTEMA,DEPOSITO_EFECTIVO,23885.23,2026-05-15 01:57:22,0,Alvaro Octavio Quesada Valdez,Empresario / Comerciante,4,1
TX-0003230,CLI-00489,SISTEMA,DEPOSITO_EFECTIVO,7742.95,2026-05-15 03:51:22,0,Olga Santillán,Empresario / Comerciante,4,1
TX-0027337,CLI-04216,SISTEMA,DEPOSITO_EFECTIVO,18833.94,2026-05-15 04:09:22,0,Jacobo Francisco Valles,Empresario / Comerciante,4,1
TX-0005410,CLI-00832,SISTEMA,DEPOSITO_EFECTIVO,7604.15,2026-05-15 04:29:22,0,Germán Casas Viera,Empresario / Comerciante,4,1
TX-0020646,CLI-03197,SISTEMA,DEPOSITO_EFECTIVO,5491.61,2026-05-15 05:28:22,0,Lic. Ana Mondragón,Empresario / Comerciante,4,1
TX-0016848,CLI-02610,SISTEMA,DEPOSITO_EFECTIVO,33044.67,2026-05-15 05:57:22,0,Wilfrido Amador Vigil,Empresario / Comerciante,4,1
TX-0027421,CLI-04228,SISTEMA,DEPOSITO_EFECTIVO,7682.52,2026-05-15 07:09:22,0,Rosario Wendolin Valenzuela Mojica,Profesionista Independiente,4,1
TX-0023062,CLI-03563,SISTEMA,DEPOSITO_EFECTIVO,6130.33,2026-05-15 07:21:22,0,Reynaldo Claudio Montero Vargas,Empresario / Comerciante,4,1
TX-0000392,CLI-00060,SISTEMA,DEPOSITO_EFECTIVO,16993.19,2026-05-15 07:30:22,0,Trinidad Díaz Laureano,Empresario / Comerciante,4,1
TX-0026865,CLI-04139,SISTEMA,DEPOSITO_EFECTIVO,2488.57,2026-05-15 08:15:22,0,Ing. Gerardo Alejandro,Empresario / Comerciante,4,1
TX-0024377,CLI-03763,SISTEMA,DEPOSITO_EFECTIVO,9463.19,2026-05-15 08:32:22,0,Mariano Munguía Valle,Empresario / Comerciante,4,1
TX-0011629,CLI-01793,SISTEMA,DEPOSITO_EFECTIVO,10775.76,2026-05-15 09:31:22,0,José Manuél Gilberto Melgar Barela,Empresario / Comerciante,4,1
TX-0002254,CLI-00341,SISTEMA,DEPOSITO_EFECTIVO,1964.82,2026-05-15 10:33:22,0,Alvaro Marcos Ramos,Empresario / Comerciante,4,1
TX-0005159,CLI-00796,SISTEMA,DEPOSITO_EFECTIVO,5720.24,2026-05-15 14:21:22,0,María Luisa Amelia Zambrano,Empresario / Comerciante,4,1
TX-0010573,CLI-01625,SISTEMA,DEPOSITO_EFECTIVO,19420.19,2026-05-15 14:55:22,0,Antonia Nadia Verduzco,Empresario / Comerciante,4,1
TX-0023027,CLI-03558,SISTEMA,DEPOSITO_EFECTIVO,13263.28,2026-05-15 18:30:22,0,José Manuél Romo,Empresario / Comerciante,4,1
TX-0024062,CLI-03715,SISTEMA,DEPOSITO_EFECTIVO,23116.51,2026-05-15 20:28:22,0,María Cristina Llamas Gallegos,Empresario / Comerciante,4,1
TX-0027294,CLI-04209,SISTEMA,DEPOSITO_EFECTIVO,7737.48,2026-05-15 20:41:22,0,Luis Manuel Ortega Barreto,Empresario / Comerciante,4,1
TX-0014592,CLI-02263,SISTEMA,DEPOSITO_EFECTIVO,8077.98,2026-05-15 22:54:22,0,Jerónimo Holguín,Empresario / Comerciante,4,1
TX-0011621,CLI-01792,SISTEMA,DEPOSITO_EFECTIVO,19783.14,2026-05-16 00:08:22,0,Ing. Esperanza Prieto,Empresario / Comerciante,4,1
TX-0011834,CLI-01824,SISTEMA,DEPOSITO_EFECTIVO,32749.21,2026-05-16 02:08:22,0,Paulina Montoya,Empresario / Comerciante,4,1
TX-0028622,CLI-04405,SISTEMA,DEPOSITO_EFECTIVO,1434.75,2026-05-16 02:29:22,0,Wendolin Camila Calvillo Muñoz,Empresario / Comerciante,4,1
TX-0012592,CLI-01943,SISTEMA,DEPOSITO_EFECTIVO,10162.66,2026-05-16 05:38:22,0,Eugenia Dulce Burgos Otero,Empresario / Comerciante,4,1
TX-0014566,CLI-02259,SISTEMA,DEPOSITO_EFECTIVO,16870.01,2026-05-16 06:40:22,0,Ing. Julia Patiño,Profesionista Independiente,4,1
TX-0006102,CLI-00940,SISTEMA,DEPOSITO_EFECTIVO,19236.99,2026-05-16 06:43:22,0,Ing. Eugenio Leiva,Empresario / Comerciante,4,1
TX-0021914,CLI-03386,SISTEMA,DEPOSITO_EFECTIVO,8257.69,2026-05-16 08:36:22,0,Amelia Yolanda Paredes Tapia,Empresario / Comerciante,4,1
TX-0030515,CLI-04695,SISTEMA,DEPOSITO_EFECTIVO,18122.56,2026-05-16 09:25:22,0,Isabel Osorio Villanueva,Empresario / Comerciante,4,1
TX-0010073,CLI-01547,SISTEMA,DEPOSITO_EFECTIVO,14888.28,2026-05-16 16:02:22,0,Ángel Alcaraz Valdés,Profesionista Independiente,4,1
TX-0026687,CLI-04108,SISTEMA,DEPOSITO_EFECTIVO,6046.27,2026-05-16 16:59:22,0,Sra. Marisela Mares,Empresario / Comerciante,4,1
TX-0012589,CLI-01943,SISTEMA,DEPOSITO_EFECTIVO,28519.99,2026-05-16 17:02:22,0,Eugenia Dulce Burgos Otero,Empresario / Comerciante,4,1
TX-0002787,CLI-00422,SISTEMA,DEPOSITO_EFECTIVO,4087.57,2026-05-16 17:12:22,0,Teresa Patiño Sierra,Empresario / Comerciante,4,1
TX-0023856,CLI-03687,SISTEMA,DEPOSITO_EFECTIVO,21047.76,2026-05-16 18:59:22,0,Omar Modesto Badillo León,Empresario / Comerciante,4,1
TX-0010846,CLI-01671,SISTEMA,DEPOSITO_EFECTIVO,12347.46,2026-05-16 19:21:22,0,Srita. Dalia Patiño,Empresario / Comerciante,4,1
TX-0015547,CLI-02407,SISTEMA,DEPOSITO_EFECTIVO,16369.56,2026-05-16 19:23:22,0,Diana Rosales,Empresario / Comerciante,4,1
