id_cliente,nombre_cliente,ocupacion,ingreso_mensual_declarado,nivel_riesgo_kyc,fecha_alta_sistema
CLI-00001,Dra. Eloisa Huerta,Desempleado,445.32,Alto,2024-03-23
CLI-00002,Ing. Julio César Palomo,Desempleado,1100.12,Alto,2025-11-23
CLI-00003,Aurora Naranjo Henríquez,Empleado Sector Privado,16604.75,Medio,2025-07-04
CLI-00004,Dalia Huerta Cazares,Estudiante,6060.2,Bajo,2025-10-03
CLI-00005,Rocío Irma Trujillo,Jubilado,6130.2,Bajo,2024-02-19
CLI-00006,Socorro Laboy Alcaraz,Empresario / Comerciante,56356.54,Alto,2025-07-11
CLI-00007,Yeni Ruby Fuentes,Estudiante,3311.83,Bajo,2025-06-10
CLI-00008,Srita. Lourdes Alba,Jubilado,12826.24,Bajo,2024-08-08
CLI-00009,Sra. Virginia Padrón,Jubilado,7584.89,Bajo,2024-04-03
CLI-00010,Leticia Romo,Desempleado,2805.3,Alto,2025-09-20
CLI-00011,Abigail Ruby del Valle,Empresario / Comerciante,94088.12,Alto,2026-04-08
CLI-00012,Carmen Reséndez Madrid,Jubilado,8616.48,Bajo,2023-10-16
CLI-00013,Benjamín Romo,Estudiante,6552.84,Bajo,2024-03-04
CLI-00014,Verónica Colunga,Empleado Sector Privado,35038.6,Medio,2023-10-20
CLI-00015,Alta  Gracia Alta  Gracia Padilla,Profesionista Independiente,27504.21,Medio,2024-04-23
CLI-00016,Juan Carlos Ruelas,Empleado Sector Privado,43588.03,Medio,2025-11-03
CLI-00017,Ing. Bruno Bermúdez,Profesionista Independiente,19599.46,Medio,2025-12-25
CLI-00018,Gerardo Jos Valle,Empresario / Comerciante,69343.28,Alto,2023-08-14
CLI-00019,Srita. Ariadna Cadena,Profesionista Independiente,42167.67,Medio,2023-09-15
CLI-00020,Soledad Lucio Valdez,Estudiante,6378.39,Bajo,2023-08-08
CLI-00021,Santiago Alejandro Ulloa Quesada,Jubilado,6622.74,Bajo,2024-10-24
CLI-00022,Sra. Natalia Navarro,Empresario / Comerciante,65760.04,Alto,2024-06-05
CLI-00023,Dr. Oswaldo García,Profesionista Independiente,52323.21,Medio,2025-04-05
