id_cliente,nombre_cliente,ocupacion,ingreso_mensual_declarado,nivel_riesgo_kyc,fecha_alta_sistema,monto_efectivo_recibido,monto_enviado,inconsistencia_efectivo,inconsistencia_salidas,cluster_comportamiento,sospechoso_ml
CLI-00001,Dra. Eloisa Huerta,Desempleado,445.32,Alto,2024-03-23,244.97,446.88,0.5500988053534537,1.8242233742907294,0,0
CLI-00002,Ing. Julio César Palomo,Desempleado,1100.12,Alto,2025-11-23,337.79,1723.95,0.3070483220012363,5.103614671837532,0,0
CLI-00003,Aurora Naranjo Henríquez,Empleado Sector Privado,16604.75,Medio,2025-07-04,4930.28,24645.67,0.2969198572697571,4.998837794202357,0,0
CLI-00004,Dalia Huerta Cazares,Estudiante,6060.2,Bajo,2025-10-03,3225.07,7742.64,0.5321722055377711,2.4007664949908065,0,0
CLI-00005,Rocío Irma Trujillo,Jubilado,6130.2,Bajo,2024-02-19,1285.54,5076.37,0.20970604547975596,3.9488230626818304,0,0
CLI-00006,Socorro Laboy Alcaraz,Empresario / Comerciante,56356.54,Alto,2025-07-11,25003.28,58895.75,0.4436624391774229,2.355520955650619,0,0
CLI-00007,Yeni Ruby Fuentes,Estudiante,3311.83,Bajo,2025-06-10,1977.21,4528.44,0.5970143395041413,2.290318175611088,0,0
CLI-00008,Srita. Lourdes Alba,Jubilado,12826.24,Bajo,2024-08-08,289.6,14852.31,0.02257871363704406,51.28560082872928,0,0
CLI-00009,Sra. Virginia Padrón,Jubilado,7584.89,Bajo,2024-04-03,3486.79,9361.1,0.4597021182904432,2.6847329492169014,0,0
CLI-00010,Leticia Romo,Desempleado,2805.3,Alto,2025-09-20,105.8,3942.85,0.03771432645349873,37.26701323251418,0,0
CLI-00011,Abigail Ruby del Valle,Empresario / Comerciante,94088.12,Alto,2026-04-08,7760.18,70115.63,0.08247778784399136,9.035309747969764,4,1
CLI-00012,Carmen Reséndez Madrid,Jubilado,8616.48,Bajo,2023-10-16,0.0,5994.7,0.0,0.0,0,0
CLI-00013,Benjamín Romo,Estudiante,6552.84,Bajo,2024-03-04,1732.08,7221.47,0.26432508652736825,4.169247378873956,0,0
CLI-00014,Verónica Colunga,Empleado Sector Privado,35038.6,Medio,2023-10-20,3006.13,36065.259999999995,0.08579480915333376,11.997238975027692,0,0
